Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
22621,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 32)
22623,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 34)
22624,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 35)
22625,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 36)
22626,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 37)
22627,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 38)
22628,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 39)
22630,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 40)
22631,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 41)
22632,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 42)
22633,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 43)
22634,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 44)
22635,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 45)
22638,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 46)
40440,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 47)
40442,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 49)
18040,11,Cricket Pitch Field,sport,Cricket Pitch Field - Premier,P,G. ROSS LORD PARK - Cricket Pitch Field (  1)
18041,11,Cricket Pitch Field,sport,Cricket Pitch Field - Premier,P,G. ROSS LORD PARK - Cricket Pitch Field (  2)
13267,11,Drinking Fountain,,Drinking Fountain,,G. ROSS LORD PARK - Drinking Fountain (  1)
13268,11,Drinking Fountain,,Drinking Fountain,,G. ROSS LORD PARK - Drinking Fountain (  2)
13269,11,Drinking Fountain,,Drinking Fountain,,G. ROSS LORD PARK - Drinking Fountain (  3)
13270,11,Drinking Fountain,,Drinking Fountain,,G. ROSS LORD PARK - Drinking Fountain (  4)
4435,11,Firepit,,Firepit,,G. ROSS LORD PARK - Firepit (  1)
29216,11,Firepit,,Firepit,,G. ROSS LORD PARK - Firepit (  2)
2819,11,Dogs Off-Leash Area,,Off Leash Area,,G. ROSS LORD PARK - Off Leash Area
57335,11,Pond,,Open Water,,G. ROSS LORD PARK - Open Water ( 1)
57336,11,Pond,,Open Water,,G. ROSS LORD PARK - Open Water ( 2)
57337,11,Pond,,Open Water,,G. ROSS LORD PARK - Open Water ( 3)
32309,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  1)
32315,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  2)
32314,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  3)
32313,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  4)
32312,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  5)
32310,11,Parking Lot,,Outdoor Parking Lot,,G. ROSS LORD PARK - Parking Lot (  6)
